Title,Date
"인생슬랙스를, 찾아, 겨울용, 슬랙스를, 종류별로, 사봤습니다",2023.11.
"메종키츠네, 가디건",2023.11.
방수스프레이,2023.11.
"톰보이, 무스탕",2023.11.
"ssf, 메종키츠네, 가디건, 따사했어요",2023.11.
"꿀맛템, 샀어요",2023.12
"가니, 티셔츠",2023.12
"가니, 스마일티, 따샀했어요",2023.12
"노스페이스, 키즈, 눕시, 온볼, 핑쿠, 샀오요",2023.12
"ssf, 가니, 티셔츠, 샀어요",2023.12
"w컨셉에서, 나이키, 따샀, 했어요",2023.12
"헌터키즈부츠, 샀어요",2023.12
"오프화이트, 벨트, 샀어요",2023.12
ugg어그,2023.12
"잔스포츠, 샀어요, 기록용",2023.12
"크리스마스케이크, 주문완료, 예약완료",2023.12
"오프화이트, 아이폰, Pro, 케이스, 샀어요",2023.12
"질샌더, 스몰, 탱글백, 삿어요",2023.12
"이번엔, 젝시믹스, 운동복, 구매, 완, 살짝, 늦은, 오샀, 기록용",2023.12
"노스페이스, 보레알리스, 부티, 샀어요",2023.12
론론,2023.12
"저도, 애플, 이어머프, 샀어요",2023.12
"따샀, 오프화이트, pro, 케이스, 샀어요",2023.12
"w컨셉서, 나이키, 윗도리샀어요",2023.12
"케이스, 샀어요",2023.12
"샹달, 샀어요",2023.12
"ssf, 가디건, 샀어요",2023.12
"어샀, 기록용, 국코스, 세일, 담았던, 것들",2023.12
"질샌더, 패딩, 샀어요",2023.12
"가니, 베스트",2023.12
"ssf, 첫구매, 혜택으로, 메종키츠네, 가디건, 샀어요",2023.12
"세컨스킨, 블프, 세일",2023.12
"아크네, 비니, 샀어요핫딜",2023.12
"아뜰리에, 드, 루멘, 리퍼브, 가방, 샀오요",2023.12
"시엔트, 패딩백, 샀어요",2023.12
"스투시, 샀어요",2023.12
"크록스, 샀어요",2023.12
"바네사브루노아떼, 가방, 샀어요, 충동여왕",2023.12
"cm에서, 시엔느, 패딩백샀어용",2023.12
"Ssg, 에어랩, 오닉스골드, 샀어요",2023.12
"결국, 따샀한, 코스, 가디건",2023.12
"어샀화장품, 몇개, 쿠폰마감이라, 급하게, 사봅니다",2023.12
"코케트, 따라, 샀어요",2023.12
"무신사, 파산핑, 슈가베리팩트",2023.12
"어샀, 캘빈클라인, 진, 다운, 푸퍼, 샀어요",2023.12
"버버리, 케이프, 어그, 코케트샀어요",2023.12
알콜삿서여,2023.12
"보테가베네타, 카세트백, 드뎌, 샀어요",2023.12
"시마을, 크리니크, 수분크림, 스틸라, 아이팔래트, 샀어요",2023.11.
"면세점, 온라인, 구매했어요, 감사합니다",2023.11.
"유니클로, 겟겟",2023.11.
"하트귀걸이, 샀어용",2023.11.
"무신사, 어센틱",2023.11.
"뉴진스, 해린, 백팩, 샀어용",2023.11.
"뉴발란스, 운동화, 샀어요",2023.11.
"어그, 클리어, 미니부츠, 샀어요",2023.11.
잔스포츠코듀로이따라샀어요,2023.11.
"제네럴아이디어, 가디건, 샀어요",2023.11.
"디올뷰티, 튀튀, 블러쉬, 뷰러, 샀어요",2023.11.
"어샀, 모자샀어요",2023.11.
"예샀, 버버리, 머플러, 샀어요",2023.11.
"예샀에서, 비비안웨스트우드, 버킷햇, 샀어요",2023.11.
어그클리어블랙샀어용,2023.11.
"천사님께, 로떼, 쿠폰, 나눔받아서, 샀어요",2023.11.
"Archivepke, 부츠, 샀어요",2023.11.
"운동은, 장비빨, 젝시믹스, 샀어요",2023.11.
"골든구스, 슈퍼스타, 베이지, 나이트블루탭, 샀어요",2023.11.
"빈폴, 메종키츠네, 양말, 샀어요",2023.11.
"반스, 어센틱, 레더, 샀어유",2023.11.
"헤라, 센슈얼, 립밤, 샀어용",2023.11.
"쥔님, 장난감, 사줬어여",2023.11.
"크림, 첫구매, 후덜덜",2023.11.
"샤넬, 립, cc참, 샀어요",2023.11.
"어그, 코케트, 또, 질렀어요",2023.11.
"샤넬, 루쥬, 코코밤, 샀어요",2023.11.
"디올, 튀튀, 궁그매서, 사봐써여써보신, 분들, 옙분가요, 백스테이지, 팔레트, 추천",2023.11.
"내기준핫딜가나이키, 플렉스, 어드밴스",2023.11.
"이거저것, 르라보, 불리, 트루동",2023.11.
"면세점, 젤리캣, 키링, 샀어요",2023.11.
"샤넬, 루쥬코코밤, 이라, 쓰고, 샤넬, CC로고, 참, 이라고, 읽는다",2023.11.
"어그, 슬리퍼, 코게트, 삿어요",2023.11.
따라샀어요,2023.11.
"잔스포츠, 코듀로이, 샀어요",2023.11.
"잔스포츠, 하프파인트, 커리, 샀오요",2023.11.
"어샀, 데일리, 백팩",2023.11.
"폴더라벨, 포르치니, 스트랩, 블랙, 샀어요",2023.11.
"Msgm, 맨투맨, 건졌어요",2023.11.
"잔스포츠, 하프파인트, 따라샀어요",2023.11.
"뒤늦은, 오샀, 그저께, 에서, 클로브겨울모자, 샀어요",2023.11.
"잔스포츠, 하프파인트, 쿄듀로이, 샀어요",2023.11.
"어그, 코케트, 샀어용",2023.11.
"어제샀어요, 나이키, 임플로이",2023.11.
"룰루레몬, 질려서, 산, 아르듀레깅스",2023.11.
"어그, 타즈, 블랙샀어요",2023.11.
"에바, 구스다운, 패딩, 만원대에, 샀어요",2023.11.
"무신사, 부티크, 씨피컴퍼니, 새틴카고, 팬츠, 그린, 원",2023.11.
"며칠전, 배송된, 리복, 푸퍼, 샀어요",2023.11.
"어그, 코케트, 구매했오요",2023.11.
"막스마라, 테디베어, 키즈, M",2023.11.
"면세점, 젤리캣, 키링, 핑크",2023.11.
"면세점, 조셉앤스테이시, 니트, 가방",2023.11.
"디올, 튀튀, 삿오요",2023.11.
"비보모남희, 샀어요",2023.11.
"비보, 모남희, 콜라보, 블핑이, 키링, 드뎌, 성공했어요",2023.11.
"디올, 튀튀, 블러쉬, 샀어용",2023.11.
"아밤, 모남희, 토트백, 샀어용",2023.11.
"비보, 모남희",2023.11.
"모남희아밤, 사써여, 밤밤이, 핑밤이",2023.11.
"알렛츠, 입점, 회사들, 정품, screening, 되나요, 오트리, 정품, 여부, 봐주세용",2023.11.
"빅웨이브, 패딩, 샀어요",2023.11.
"미국어그, 코케트",2023.11.
"오트리, 레더, 따샀했어요지금아님",2023.11.
"살로몬, 샀어요",2023.11.
"거울, 샀어요",2023.11.
"무신사, 어그, 코케트, 샀어요",2023.11.
"면세점, 면세점, 핼렌카민스키, 에타랑, 발랑스",2023.11.
"플리스, 후디, 샀어요",2023.11.
"고민하다, 결국, 질렀어요, 프라다, 스크런치",2023.11.
"카하라, 기은세, 가방, 따라샀어요",2023.11.
"시땡CGP, 호랑이, 동전, 지갑, 사써욥",2023.11.
"아디다스, 공홈, 삼바, 베이지색, 샀어용",2023.11.
"키코, 캐리어, 인치, 샀어요",2023.11.
"노스페이스, 노벨티, 눕시, 핑크, 샀어요",2023.11.
"아까, 무신사, 메달리스트, 고트스킨, 샀어요",2023.11.
"노비스, 이브스, 헤리티, 파카, 샀어요",2023.11.
"플리스, 점퍼, 샀어요",2023.11.
"메종키츠네, 티셔츠",2023.11.
"무신사, 토템, 크롭, 테이퍼드, 데님, 샀어요",2023.11.
어그샀어요,2023.11.
"w, 마랑, 만셀, 샀오요",2023.11.
"아디다스, 컨트리, OG, 그린, 샀어요",2023.11.
"또또, 후드티",2023.11.
"오트리, 샀어요지금아님",2023.11.
"오트리, 메달리스트, 고트스킨",2023.11.
"롯, 쇼핑했어유, 돈, 그만쓰는법좀, 알려주실분",2023.11.
"오트리, 메달리스트, 화이트샀어요",2023.11.
오트,2023.11.
후드티,2023.11.
"오트리, 샀어유",2023.11.
"예전에, 리복, 푸퍼, 샀었어요",2023.11.
"반스, 에라, 레오파드, 화이트, 샀어요",2023.11.
"면세점, 젤리캣, 키링, 베이지",2023.11.
"스왈로브스키, 목걸이, 구매했어요은혜, 기록용",2023.11.
"스타벅스, 크리스마스, 테이블웨어, 종, 샀어요",2023.11.
"메종키츠네, 가디건, xs",2023.11.
"스타벅스, 크리스마스, 젤라또, 파티팩, 샀어요",2023.11.
"오트리, 고트스킨, 샀어요",2023.11.
꾸매햇어욤,2023.11.
오트리,2023.11.
"오트리, 샀어요",2023.11.
"오트리, 고트, 스킨, 따사했어요",2023.11.
